Headlines,Subtitles,Links
CRASH BACKLASH,Grandad whose van was smashed by Grealish's 4x4 still waiting for apology,https://www.thesun.co.uk/sport/13499978/jack-grealish-car-crash-range-rover-grandad/
ED'S GONE,Man Utd star Edinson Cavani set for three match ban over 'racist' social media,https://www.thesun.co.uk/sport/football/13503503/man-utd-cavani-ban-social-media/
JAN BLUES,Chelsea confident Giroud will snub January move and stay despite Euro 2021 fears,https://www.thesun.co.uk/sport/football/13503462/chelsea-olivier-giroud-transfer-january-euro-2021/
MOUR FOOL YOU,Mourinho tells Klopp 'the best team lost' and takes dig at Liverpool boss,https://www.thesun.co.uk/sport/football/13500963/jose-mourinho-jurgen-klopp-dig/
RED REN,Liverpool make Renato Sanches 'shock target as potential Wijnaldum replacement',https://www.thesun.co.uk/sport/football/13502293/liverpool-renato-sanches-shock-transfer/
LIVERPOOL 2 SPURS 1,Firmino's flying header seals dramatic late win and sends Reds top,https://www.thesun.co.uk/sport/football/13500540/liverpool-tottenham-firmino-winner-report/
,,https://www.thesun.co.uk/sport/football/13500540/liverpool-tottenham-firmino-winner-report/
ARSENAL 1 SAINTS 1,Aubameyang ends drought to rescue point after Walcott haunts former side,https://www.thesun.co.uk/sport/football/13499153/arsenal-southampton-premier-league-match-report-theo-walcott/
SAINT OR SINNER,Arsenal fans slam Walcott for celebrating Southampton goal against old club,https://www.thesun.co.uk/sport/football/13502490/arsenal-fans-slam-walcott-celebrating/
QUADRUPLE SWOOP,Utd transfer plans revealed as Ole aims to strengthen in FOUR positions,https://www.thesun.co.uk/sport/football/13502679/man-utd-solskjaer-transfer-plans/
ST TO SINNER,Rangers suffer shock as St Mirren boss is sent off for CELEBRATING late winner,https://www.thesun.co.uk/sport/football/13502434/rangers-st-mirren-goodwin-sent-off/
ROLL THE DYCE,Big Sam to bag £1.5m bonus if he keeps West Brom up after replacing Bilic,https://www.thesun.co.uk/sport/football/13500427/sam-allardyce-west-brom-bonus-bilic/
WOOD YOU BELIEVE IT,Sherwood says ‘I’m not worried about this corner’ before Firmino winner,https://www.thesun.co.uk/sport/football/13500957/sherwood-not-worried-firmino-winner/
LEEDS 5 NEWCASTLE 2,Harrison completes comeback as Whites romp past Toon at Elland Road,https://www.thesun.co.uk/sport/football/13499090/leeds-5-newcastle-2-harrison/
PREM BETTING TIPS,Back both teams to score in Sheffield United vs Man Utd,https://www.thesun.co.uk/sport/football/13463769/sheffield-united-man-utd-betting-tips-bruno-fernandes/
WEST HAM 1 CRYSTAL PALACE 1,Watch Haller's overhead kick as Benteke scores and is sent off,https://www.thesun.co.uk/sport/football/13500341/west-ham-1-crystal-palace-1-haller-overhead-benteke/
FULHAM 0 BRIGHTON 0,Lallana denied winner by VAR as Whites climb out of the relegation zone,https://www.thesun.co.uk/sport/football/13500358/fulham-0-brighton-0-lallana/
LEICESTER 0 EVERTON 2,Richarlison and Holgate bring high-flying Foxes back down to earth,https://www.thesun.co.uk/sport/football/13498981/leicester-0-everton-2-richarlison-holgate/
GAME FOR LAUGHS,"Mourinho's funny Insta posts, including eating popcorn as a post-match meal",https://www.thesun.co.uk/sport/13492901/jose-mourinho-funniest-instagram-posts-tottenham/
,,https://www.thesun.co.uk/sport/13492901/jose-mourinho-funniest-instagram-posts-tottenham/
REECE'S PIECE,Chelsea star Reece James slams thieves who stole charity goods from his car,https://www.thesun.co.uk/sport/football/13499954/chelsea-reece-james-warns-thieves/
COTT A FEELING,Theo Walcott felt ‘a lot of fear’ in Arsenal as he defends goal celebration,https://www.thesun.co.uk/sport/football/13501097/walcott-arsenal-goal-celebration-southampton/
GARD AGAINST,Solskjaer 'to change Man U plans with Lingard quitting and Ighalo loan ending',https://www.thesun.co.uk/sport/football/13502347/ole-gunnar-solskjaer-transfer-man-utd-jesse-lingard-ighalo/
HEUNG OUT TO DRY,Prem release statement on why Son's goal stood at Liverpool,https://www.thesun.co.uk/sport/football/13502785/premier-league-son-goal-liverpool/
FIK OF IT,Chelsea's Tomori set to hand Leeds and West Ham transfer snub to join Rennes,https://www.thesun.co.uk/sport/football/13502266/chelsea-fikayo-tomori-rennes-transfer/
PREMIER OUT,"Harshest Prem sackings ever, as Bilic joins other unlucky bosses after WBA axe",https://www.thesun.co.uk/sport/13494505/most-harsh-premier-league-sackings-slaven-bilic/
,,https://www.thesun.co.uk/sport/13494505/most-harsh-premier-league-sackings-slaven-bilic/
BAD HAIR PLAY,Griezmann shows daring haircut but misses sitter as Barca beat Real Sociedad,https://www.thesun.co.uk/sport/football/13501329/antoine-griezmann-barcelona-real-sociedad-sitter-haircut/
BRAND NEW,Man Utd could let Brandon Williams out on loan in January for first-team action,https://www.thesun.co.uk/sport/football/13498527/man-utd-brandon-williams-loan/
WHINE & DINE,Arsenal chief Edu rages while Piers Morgan admits he needs wine to watch team,https://www.thesun.co.uk/sport/football/13501173/arsenal-edu-rages-piers-wine/
FARCE-NAL,Arsenal have more red cards than goals and points since beating Man Utd in Prem,https://www.thesun.co.uk/sport/football/13500397/arsenal-red-cards-gabriel-xhaka-pepe/
CHEER WE GO,"Man Utd to provide 80,000 meals for the vulnerable this Christmas",https://www.thesun.co.uk/sport/13496214/man-utd-80000-meals-vulnerable-rashford/
CLOSED DOORS,Coronavirus-hit Sunderland announce games postponed and training ground shut,https://www.thesun.co.uk/sport/football/13497111/sunderland-games-postponed-training-ground-closed-coronavirus/
DEL ME IN,"Steven Gerrard could lure Spurs star Dele Alli to Rangers, claims ex-England ace",https://www.thesun.co.uk/sport/football/13495570/dele-alli-rangers-gerrard/
SUB STANDARD,FA boss urges PL to rethink five-sub rule with teams set to reject plans again,https://www.thesun.co.uk/sport/football/13498366/fa-urges-premier-league-sub/
SICK NOTE,"Neymar's injuries through the years, from ankle ligament damage to coronavirus",https://www.thesun.co.uk/sport/13486198/neymar-injury-psg-coronavirus/
,,https://www.thesun.co.uk/sport/13486198/neymar-injury-psg-coronavirus/
TOP OF THE FLOPS,Watch Morata's HORROR miss before Ronaldo scuffs penalty as Juve slip up,https://www.thesun.co.uk/sport/football/13498718/morata-horrendous-miss-back-heel/
'HIS PROBLEM',Demba Ba accuses Thomas Tuchel of ‘blaming’ Basaksehir stars during race row,https://www.thesun.co.uk/sport/football/13497149/demba-ba-psg-thomas-tuchel/
XAV SOME OF THAT,Watch Xavi’s Al Sadd score classy team goal Barcelona would be proud of,https://www.thesun.co.uk/sport/football/13493531/xavi-al-sadd-brilliant-team-move-barcelona/
'DISGUSTING',Racist abuse targeting Davies and his girlfriend slammed by Bayern president,https://www.thesun.co.uk/sport/football/13498224/alphonso-davies-girlfriend-jordyn-huitema-racist-abuse-bayern/
AK ATTACK,Akpom ends drought as ten-man Boro beat Luton after controversial penalty drama,https://www.thesun.co.uk/sport/football/13500332/middlesbrough-1-luton-0-akpom-penalty/
AULD LANG SIGN,"Man Utd will find out if they're title challengers by Jan 1, says Solskjaer",https://www.thesun.co.uk/sport/football/13500264/man-utd-title-challenge-new-years-day-solskjaer/
AND REST INIESTA,Iniesta shares photo from hospital after surgery and faces four months out,https://www.thesun.co.uk/sport/football/13497275/iniesta-hospital-four-months-surgery/
ED STRONG,Edu admits Arsenal need ‘player with creativity’ despite Ozil being frozen out,https://www.thesun.co.uk/sport/football/13498287/arsenal-ozil-edu-playmaker-admission/
FIGHT CLUB,"Arteta’s biggest bust-ups as Arsenal boss including Pepe, Guendouzi and more",https://www.thesun.co.uk/sport/13483289/arsenal-mikel-arteta-bust-ups-aubemayang/
,,https://www.thesun.co.uk/sport/13483289/arsenal-mikel-arteta-bust-ups-aubemayang/
HEY JUDE,"Leeds led out by 'virtual mascot' Jude Hawkridge, 8, from hospital in classy move",https://www.thesun.co.uk/sport/football/13499961/leeds-virtual-mascot-jude-hawkridge-hospital/
BON APPETIT,"From Henry to Benzema, France's top five best-ever strikers - with no Giroud",https://www.thesun.co.uk/sport/13493567/france-henry-benzema-giroud-top-strikers/
FAN FURY,Thiago Mendes' family received death threats after horror tackle on PSG ace Neymar,https://www.thesun.co.uk/sport/13493400/thiago-mendes-neymar-tackle-death-threats/
TAKING THE MIK,Arsenal trolled by Prem fixture list after worst start to season since 1970s,https://www.thesun.co.uk/sport/football/13492189/arsenal-arteta-trolled-fixture-list/
SON SHINE,Charly Musonda set to end 15-month Chelsea injury hell after career almost ended,https://www.thesun.co.uk/sport/football/13496934/chelsea-musonda-knee-injury-return/
FROM PARIS WITH LOVE,"Neymar's Paris life, living in a £6.5m home once owned by Depardieu",https://www.thesun.co.uk/sport/13472712/neymar-lifestyle-paris-home-psg-gerard-depardieu/
,,https://www.thesun.co.uk/sport/13472712/neymar-lifestyle-paris-home-psg-gerard-depardieu/
RAI OF LIGHT,"Mino Raiola XI with Pogba, Haaland, Zlatan and Donnarumma in super team",https://www.thesun.co.uk/sport/football/13493470/agent-mino-raiola-dead-xi-pogba-haaland-ibrahimovic/
DIM VIEW,Berbatov says Messi and Ronaldo ‘don’t deserve’ to win Fifa awards this year,https://www.thesun.co.uk/sport/football/13497812/berbatov-messi-ronaldo-lewandowski-fifa-award/
OVER THE MOON,Arsenal fans want legend Marc Overmars amid reports he is set to leave Ajax,https://www.thesun.co.uk/sport/football/13495707/arsenal-fans-marc-overmars-ajax/
STAY HERE SON,"Son Heung-min wants to stay at Tottenham for life, says Jose Mourinho",https://www.thesun.co.uk/sport/13496336/son-tottenham-jose-mourinho-spurs/
CITY BOY,"Man City ‘the best place’ for Lionel Messi, claims Zabaleta despite PSG interest",https://www.thesun.co.uk/sport/football/13486739/man-city-best-place-messi-zabaleta/
XHAKA BOOM,Five craziest Xhaka moments as ex-Arsenal captain is sent off against Burnley,https://www.thesun.co.uk/sport/13470909/arsenal-granit-xhaka-five-crazy-moments-burnley-red-card/
,,https://www.thesun.co.uk/sport/13470909/arsenal-granit-xhaka-five-crazy-moments-burnley-red-card/
BEHIND THE MASK,Club Olimpia star wears mask DURING game in North American Champions League,https://www.thesun.co.uk/sport/football/13495096/club-olimpia-jerry-bengtson-mask-game/
BEING FRANK,Chelsea have failed to beat any Premier League side above 12th this season,https://www.thesun.co.uk/sport/football/13492067/chelsea-premier-league-12th-defeats/
SIMPLY THE BENZ,Zidane calls Benzema the best French striker ever after latest Madrid brace,https://www.thesun.co.uk/sport/football/13492152/benzema-best-french-striker-ever-zidane/
LOAN RANGERS,"From James to Alli and Tomori, 10 Prem players who need January loan moves",https://www.thesun.co.uk/sport/football/13495107/james-alli-premier-league-loans/
JAN'S AGONY,Vertonghen says he suffered dizziness for 9 months after head injury for Spurs,https://www.thesun.co.uk/sport/football/13488039/vertonghen-tottenham-concussion-ajax-benfica/
MONEY MEN,"The 10 richest sport team owners in the world, with Man City's Mansour only 8th",https://www.thesun.co.uk/sport/13428016/richest-sport-team-owners-roman-abramovich/
,,https://www.thesun.co.uk/sport/13428016/richest-sport-team-owners-roman-abramovich/
